epoch,dice_coef,iou,loss,lr,precision,recall,val_dice_coef,val_iou,val_loss,val_precision,val_recall
15,0.8502452969551086,0.7422696948051453,0.14975441992282867,1e-04,0.8904625177383423,0.8381620645523071,0.6994871497154236,0.544627845287323,0.30051279067993164,0.7596995234489441,0.6587977409362793
16,0.8577041029930115,0.7535004615783691,0.14229616522789001,1e-04,0.8976899981498718,0.8414483666419983,0.6964558959007263,0.5423418879508972,0.30354416370391846,0.7895503640174866,0.6237624287605286
17,0.8560697436332703,0.7509003281593323,0.14393013715744019,1e-04,0.8962770104408264,0.8358699679374695,0.6977805495262146,0.5419149994850159,0.3022194504737854,0.678787887096405,0.7452278137207031
18,0.8676066994667053,0.7685384154319763,0.13239337503910065,1e-04,0.9069821834564209,0.8447189927101135,0.7068453431129456,0.5532844662666321,0.29315462708473206,0.7133480906486511,0.7142057418823242
19,0.8774311542510986,0.7837285399436951,0.12256874889135361,1e-04,0.9171845316886902,0.8509714603424072,0.6962387561798096,0.5399721264839172,0.30376121401786804,0.6523950099945068,0.7721094489097595
20,0.8843553066253662,0.7945948243141174,0.11564455926418304,1e-04,0.9223000407218933,0.8566934466362,0.7111023664474487,0.5586090683937073,0.28889766335487366,0.6993942260742188,0.733680009841919
21,0.8895144462585449,0.8028671741485596,0.11048566550016403,1e-04,0.9265711307525635,0.8603020310401917,0.70308917760849,0.5479263663291931,0.2969108521938324,0.6774632930755615,0.7475860118865967
22,0.8937180042266846,0.8094797134399414,0.1062818318605423,1e-04,0.9311993718147278,0.8624340295791626,0.7239402532577515,0.5740731954574585,0.2760598063468933,0.7824578285217285,0.665196418762207
23,0.8990803956985474,0.818235456943512,0.10091964900493622,1e-04,0.9354874491691589,0.8666340708732605,0.704980731010437,0.5503002405166626,0.2950192987918854,0.6710639595985413,0.7548821568489075
24,0.9023826718330383,0.8236456513404846,0.09761730581521988,1e-04,0.9382591843605042,0.8685076236724854,0.7145696878433228,0.561583399772644,0.28543034195899963,0.7226985692977905,0.7032018899917603
25,0.9078326225280762,0.8326272368431091,0.09216734021902084,1e-04,0.9433912634849548,0.872002899646759,0.6946547031402588,0.5371131896972656,0.305345356464386,0.637075662612915,0.7750588059425354
26,0.9092976450920105,0.8350577354431152,0.09070214629173279,1e-04,0.9446828365325928,0.8727364540100098,0.6970002055168152,0.5393443703651428,0.3029998242855072,0.6409918665885925,0.7730661630630493
27,0.9104052186012268,0.8369438052177429,0.08959482610225677,1e-04,0.9448659420013428,0.8732632994651794,0.7284730076789856,0.5793018341064453,0.27152690291404724,0.7576121091842651,0.6883087754249573
28,0.910654604434967,0.8373404145240784,0.08934532850980759,1e-04,0.9455071091651917,0.872257649898529,0.7274155020713806,0.5772475600242615,0.27258455753326416,0.7756231427192688,0.6759642362594604
29,0.9139010906219482,0.8426498174667358,0.08609895408153534,1e-04,0.9487722516059875,0.8751881718635559,0.726068913936615,0.5748386979103088,0.2739310562610626,0.7224180102348328,0.7214338779449463
30,0.9176925420761108,0.849096953868866,0.08230721950531006,1e-04,0.9506869912147522,0.8791353106498718,0.7273310422897339,0.5759264826774597,0.27266889810562134,0.7494075894355774,0.6964656710624695
31,0.9220448732376099,0.8564752340316772,0.07795517891645432,1e-04,0.9543491005897522,0.8829261064529419,0.7057654857635498,0.5512111783027649,0.2942344844341278,0.6648163795471191,0.7612808346748352
