epoch,dice_coef,iou,loss,lr,precision,recall,val_dice_coef,val_iou,val_loss,val_precision,val_recall
21,0.891525387763977,0.8060823678970337,0.10847470909357071,1e-04,0.9276079535484314,0.852581262588501,0.6882727742195129,0.5324810147285461,0.3117271959781647,0.6540729999542236,0.7484323382377625
22,0.8982431292533875,0.8167583346366882,0.10175695270299911,1e-04,0.9338476061820984,0.8581470847129822,0.7040651440620422,0.5501028299331665,0.295934796333313,0.6835852861404419,0.7414465546607971
23,0.9021298289299011,0.8231950998306274,0.09787032753229141,1e-04,0.937257707118988,0.8614612221717834,0.6843792796134949,0.5294393301010132,0.3156207799911499,0.6172693967819214,0.8003917932510376
24,0.9066516757011414,0.8306904435157776,0.09334859997034073,1e-04,0.9401159286499023,0.865982711315155,0.7277784943580627,0.5763489007949829,0.27222150564193726,0.7340826988220215,0.7275757789611816
25,0.9112069606781006,0.8382178544998169,0.088793084025383,1e-04,0.94493567943573,0.8698345422744751,0.6837507486343384,0.5276106595993042,0.31624922156333923,0.5968541502952576,0.8439608216285706
26,0.9135072827339172,0.8420379757881165,0.08649270981550217,1e-04,0.9454922676086426,0.8728371858596802,0.6767427325248718,0.5209611654281616,0.3232572674751282,0.5953797101974487,0.821819543838501
27,0.9151929616928101,0.8448597192764282,0.08480701595544815,1e-04,0.947303831577301,0.8738350868225098,0.6104490756988525,0.4490117132663727,0.3895508646965027,0.48308053612709045,0.8775706887245178
28,0.9173359274864197,0.8485095500946045,0.08266402035951614,1e-04,0.9479146599769592,0.8768563270568848,0.7317758202552795,0.5816184878349304,0.26822423934936523,0.7076930999755859,0.7724470496177673
29,0.921826183795929,0.8561552166938782,0.07817373424768448,1e-04,0.951852023601532,0.8814871907234192,0.7236812710762024,0.572037398815155,0.27631866931915283,0.6959724426269531,0.7634997963905334
30,0.9249660968780518,0.8614814877510071,0.0750340148806572,1e-04,0.9552689790725708,0.8830718994140625,0.742350697517395,0.5965138673782349,0.25764936208724976,0.7378718256950378,0.7538326382637024
31,0.9280965924263,0.8668323159217834,0.07190319895744324,1e-04,0.9570449590682983,0.8868690133094788,0.7510949373245239,0.6080612540245056,0.24890507757663727,0.7507761120796204,0.7546653747558594
